Employe_num,full_name,gender,location_id,jobtitle_id,age,age_group,lengthservice_year,absent_hour
238,Christopher Ash,Male,loc215,jbt5,43,40's,2,10
239,Susan Salisbury,Female,loc81,jbt5,37,30's,2,31
240,Ann Healy,Female,loc35,jbt5,51,50's,7,131
241,Edward Blake,Male,loc239,jbt5,54,50's,5,123
242,Yoshiko Vega,Female,loc238,jbt5,28,20's,2,21
243,Francis Hamlin,Female,loc148,jbt5,55,50's,5,173
244,Andre Adams,Male,loc232,jbt6,43,40's,8,20
245,Mary Carruth,Female,loc135,jbt5,38,30's,2,47
246,Robert Turner,Male,loc232,jbt6,37,30's,5,30
247,Kristin Norris,Female,loc64,jbt5,36,30's,7,27
248,Mary Wiley,Female,loc195,jbt5,54,50's,5,152
249,Jocelyn Francis,Female,loc236,jbt5,44,40's,4,39
250,Phillip Goff,Male,loc31,jbt5,56,50's,6,174
251,Amanda Reese,Female,loc179,jbt5,34,30's,1,4
252,David Keating,Male,loc207,jbt5,35,30's,3,65
253,Francis McLaren,Male,loc235,jbt5,31,30's,3,0
254,Evelyn Colucci,Female,loc179,jbt5,35,30's,4,44
255,Beverly Wilson,Female,loc106,jbt5,30,30's,5,0
256,Ramon Thomas,Male,loc109,jbt5,44,40's,4,91
257,Georgia Barnard,Female,loc59,jbt5,38,30's,6,59
258,Erin Perez,Female,loc148,jbt5,38,30's,5,28
259,Susan Lindo,Female,loc224,jbt5,54,50's,3,112
260,David Furman,Male,loc5,jbt5,52,50's,5,84
261,Kelly Neill,Male,loc232,jbt6,32,30's,5,20
262,Brian Hilyard,Male,loc232,jbt6,29,20's,4,0
263,Gary Harder,Male,loc9,jbt5,36,30's,3,26
264,Todd Goode,Male,loc74,jbt5,46,40's,3,28
265,Barbara Dunn,Female,loc148,jbt5,32,30's,5,40
266,Louis Leblanc,Male,loc255,jbt5,39,30's,3,49
267,Gregory Geist,Male,loc81,jbt5,44,40's,5,71
268,Hazel McCann,Female,loc114,jbt5,40,40's,7,22
269,James Logan,Male,loc146,jbt5,47,40's,5,20
270,Ernest Salinas,Male,loc27,jbt6,21,20's,2,0
271,Viola Sherman,Female,loc215,jbt5,49,40's,5,75
272,Hubert Santo,Male,loc208,jbt5,38,30's,3,3
273,James Knotts,Male,loc232,jbt6,37,30's,3,18
274,Tracy Gaddy,Male,loc232,jbt6,57,50's,5,122
275,Louisa Holloway,Female,loc215,jbt5,34,30's,5,28
276,Thelma Fralick,Female,loc236,jbt5,29,20's,3,36
277,Breanna Lamm,Female,loc236,jbt5,53,50's,4,73
278,William Gregor,Male,loc232,jbt6,55,50's,5,85
279,Gloria Galligan,Female,loc232,jbt6,49,40's,4,74
280,Frank Wilson,Male,loc236,jbt5,45,40's,5,104
281,Andre Tice,Male,loc236,jbt5,36,30's,2,0
282,Phillip Weaver,Male,loc179,jbt5,40,40's,5,36
283,Gwendolyn Marshall,Female,loc139,jbt5,43,40's,4,38
284,Alfonso Braud,Male,loc58,jbt5,38,30's,4,28
285,Latonya Kelleher,Female,loc187,jbt5,45,40's,6,75
286,Henrietta Gorski,Female,loc192,jbt5,58,50's,5,146
287,Jennifer Murray,Female,loc148,jbt5,29,20's,7,46
288,Harry Neill,Male,loc236,jbt5,64,60's,4,198
289,Michael Gelinas,Male,loc203,jbt5,37,30's,3,0
290,Earl Hansen,Male,loc148,jbt5,48,40's,5,76
291,John Higginbotham,Male,loc38,jbt5,31,30's,6,0
292,Joseph Hollen,Male,loc232,jbt6,48,40's,7,101
293,Charles Utter,Male,loc247,jbt5,46,40's,4,102
294,Nancy Crafton,Female,loc232,jbt6,35,30's,3,95
295,Freida Curtis,Female,loc148,jbt5,53,50's,2,139
296,Bernice Ashley,Female,loc114,jbt5,47,40's,4,68
297,Amanda Neal,Female,loc165,jbt5,28,20's,3,0
298,Dennis Courtois,Male,loc236,jbt5,47,40's,4,44
299,Willie Mobley,Male,loc184,jbt5,41,40's,4,0
300,Mary Noriega,Female,loc211,jbt5,43,40's,3,68
301,William Moore,Male,loc232,jbt7,49,40's,26,57
302,Xavier Barrientez,Male,loc148,jbt5,38,30's,4,0
303,Kenneth Ingram,Male,loc239,jbt8,55,50's,6,83
304,Steven Ober,Male,loc187,jbt5,30,30's,3,0
305,Craig Hull,Male,loc148,jbt5,46,40's,5,35
306,Lori Davis,Female,loc232,jbt7,52,50's,5,60
307,Diane Sands,Female,loc232,jbt7,55,50's,15,0
308,Ismael Watts,Male,loc5,jbt5,45,40's,3,65
309,Raymond Lynch,Male,loc125,jbt5,47,40's,5,86
310,Kenneth Gerard,Male,loc248,jbt5,46,40's,4,75
311,Jennifer Daniel,Female,loc232,jbt7,55,50's,32,113
312,Sharon Guzman,Female,loc125,jbt5,38,30's,1,40
313,Monica Carbaugh,Female,loc1,jbt5,63,60's,2,206
314,Steven Espinoza,Male,loc166,jbt5,46,40's,3,35
315,Tiffany Mills,Female,loc232,jbt7,53,50's,9,42
316,Richard Chamness,Male,loc148,jbt5,45,40's,3,107
317,Jacqueline Bricker,Female,loc170,jbt5,38,30's,4,71
318,Jorge Yokoyama,Male,loc114,jbt5,61,60's,2,181
319,Justin Jackson,Male,loc232,jbt7,49,40's,21,21
320,Irene Gomez,Female,loc232,jbt11,39,30's,13,0
321,Arthur Cromer,Male,loc147,jbt5,27,20's,3,0
322,Michael Davis,Male,loc232,jbt11,49,40's,31,0
323,Linda Snowden,Female,loc232,jbt11,54,50's,17,72
324,Mary Helton,Female,loc215,jbt5,49,40's,3,90
325,Franklin Shockley,Male,loc152,jbt5,37,30's,6,13
326,Armand Johnstone,Male,loc187,jbt5,37,30's,7,43
327,Rodney Gonzalez,Male,loc5,jbt8,46,40's,6,44
328,Lawrence Stalder,Male,loc250,jbt5,42,40's,5,39
329,Daisy Price,Female,loc148,jbt5,49,40's,3,127
330,Ronald Olson,Male,loc52,jbt5,60,60's,6,125
331,Timothy Collins,Male,loc120,jbt5,41,40's,6,58
332,William Clay,Male,loc236,jbt5,53,50's,3,129
333,Paul Davis,Male,loc23,jbt5,51,50's,4,90
334,Darwin Snow,Male,loc144,jbt5,49,40's,4,73
335,Philip Giuliani,Male,loc102,jbt5,40,40's,4,7
336,Mary Kwan,Female,loc198,jbt5,52,50's,0,145
337,Bebe Moody,Female,loc91,jbt5,34,30's,4,23
338,Eleanor Burg,Female,loc236,jbt5,48,40's,4,50
339,Frances Zamora,Female,loc210,jbt5,42,40's,3,87
340,Jeremiah Campbell,Male,loc174,jbt5,48,40's,7,79
341,Anabel Alvarado,Female,loc81,jbt5,46,40's,7,92
342,Margaret Hughes,Female,loc196,jbt5,65,60's,3,207
343,Grace Collins,Female,loc213,jbt5,40,40's,2,57
344,Lisa Cunningham,Female,loc148,jbt5,44,40's,3,57
345,Cassandra Corcoran,Female,loc236,jbt5,48,40's,5,75
346,Amy Stier,Female,loc236,jbt5,24,20's,3,0
347,Samuel Horton,Male,loc114,jbt5,28,20's,4,18
348,Jorge Jones,Male,loc232,jbt11,40,40's,22,120
349,Leonard Davenport,Male,loc232,jbt11,54,50's,36,0
350,David Mullen,Male,loc232,jbt31,57,50's,6,127
351,Samuel Dobbs,Male,loc215,jbt5,46,40's,2,55
352,Linda Mendez,Female,loc232,jbt31,61,60's,43,0
353,Edward Hedges,Male,loc187,jbt5,41,40's,2,59
354,Troy Feldman,Male,loc46,jbt5,47,40's,5,105
355,Blanca Booth,Female,loc1,jbt8,54,50's,5,120
356,Lance Cummings,Male,loc148,jbt5,46,40's,6,96
357,Colleen Bober,Female,loc3,jbt5,50,50's,3,146
358,Justin Shaffer,Male,loc23,jbt5,49,40's,5,66
359,Lauren Reyes,Female,loc232,jbt31,62,60's,24,75
360,Mary Calles,Female,loc78,jbt5,45,40's,3,105
361,Todd Rowen,Male,loc106,jbt5,47,40's,4,65
362,Carlos Meadows,Male,loc114,jbt5,32,30's,2,0
363,Robert Hurlburt,Male,loc12,jbt8,54,50's,7,115
364,Angela Castillo,Female,loc16,jbt5,34,30's,7,0
365,Diane Noriega,Female,loc148,jbt5,37,30's,7,0
366,George Honaker,Male,loc52,jbt5,47,40's,4,112
367,Stacy Westman,Male,loc146,jbt5,19,<20's,2,0
368,Daniel Kuntz,Male,loc152,jbt5,38,30's,6,57
369,Janette Alonzo,Female,loc232,jbt31,43,40's,23,63
370,Yvette Walker,Female,loc236,jbt5,48,40's,4,73
371,Maria Garcia,Female,loc247,jbt5,43,40's,6,33
372,Patrick Myers,Male,loc72,jbt8,43,40's,2,96
373,Esther Martinez,Female,loc28,jbt5,31,30's,3,23
374,Willie Norman,Male,loc146,jbt5,45,40's,5,71
375,Joseph March,Male,loc236,jbt5,58,50's,7,95
376,Danny Hays,Male,loc236,jbt5,54,50's,5,125
377,Ryan Patterson,Male,loc184,jbt5,57,50's,5,114
378,Steve Joyce,Male,loc204,jbt5,48,40's,5,43
379,Tami Greenberg,Female,loc112,jbt8,38,30's,2,55
380,Roland Wood,Male,loc108,jbt8,47,40's,4,68
381,Carrie Staub,Female,loc236,jbt5,26,20's,6,0
382,Salvador Crisp,Male,loc102,jbt5,23,20's,6,11
383,Megan Drayton,Female,loc179,jbt5,47,40's,4,125
384,Francisco Morris,Male,loc148,jbt5,38,30's,6,19
385,Rose Stanko,Female,loc57,jbt5,35,30's,5,0
386,Katie Pollard,Female,loc89,jbt8,42,40's,5,75
387,Katrina Lietz,Female,loc146,jbt5,41,40's,6,94
388,William Carpentier,Male,loc232,jbt31,53,50's,12,0
389,Jennifer Johnson,Female,loc232,jbt32,63,60's,3,110
390,Michael McCloud,Male,loc30,jbt5,45,40's,6,123
391,Jose Martin,Male,loc161,jbt5,42,40's,4,87
392,Leonard Navarrete,Male,loc112,jbt8,24,20's,4,0
393,Georgia Buendia,Female,loc35,jbt5,59,50's,5,115
394,Joseph Cook,Male,loc53,jbt5,16,<20's,5,0
395,Linda Winship,Female,loc236,jbt5,53,50's,4,159
396,Lori Velez,Female,loc5,jbt8,50,50's,3,128
397,James Paxson,Male,loc46,jbt5,47,40's,5,67
398,Robert Foster,Male,loc236,jbt5,28,20's,4,0
399,Earl Acevedo,Male,loc232,jbt32,41,40's,20,0
400,Nancy Oneal,Female,loc64,jbt5,54,50's,3,112
401,Margaret Hunter,Female,loc28,jbt5,38,30's,4,14
402,Sonya Miranda,Female,loc236,jbt5,37,30's,5,19
403,Walter Hernandez,Male,loc232,jbt32,56,50's,10,0
404,Linda Russell,Female,loc232,jbt32,24,20's,6,0
405,Ruby Howard,Female,loc173,jbt5,57,50's,4,188
406,Marta Pickett,Female,loc31,jbt5,39,30's,4,24
407,Raquel McDonald,Female,loc247,jbt5,37,30's,3,38
408,Clifton Usher,Male,loc232,jbt32,45,40's,18,0
409,Audra Click,Female,loc31,jbt5,30,30's,1,0
410,Gary Whitman,Male,loc62,jbt8,47,40's,7,133
411,Susan Vargas,Female,loc75,jbt5,37,30's,6,43
412,Jay Owen,Male,loc1,jbt8,24,20's,5,0
413,Eric Hayes,Male,loc232,jbt33,49,40's,26,31
414,Marie Creighton,Female,loc200,jbt8,39,30's,2,32
415,Karin Briones,Female,loc180,jbt8,48,40's,3,105
416,Charles Kent,Male,loc114,jbt5,46,40's,3,90
417,Jeremy Jones,Male,loc79,jbt5,41,40's,2,64
418,Anita Pierce,Female,loc250,jbt5,42,40's,1,40
419,Sergio Andrews,Male,loc232,jbt33,52,50's,16,0
420,Freddy Reeves,Male,loc179,jbt5,33,30's,3,0
421,Sarah Tovar,Female,loc112,jbt8,34,30's,3,21
422,Stephen Sullivan,Male,loc148,jbt8,48,40's,4,108
423,Sarah Alexander,Female,loc215,jbt5,53,50's,5,111
424,Charles Hess,Male,loc232,jbt33,55,50's,33,0
425,Elaine Nance,Female,loc232,jbt33,55,50's,7,126
426,Austin Oneil,Male,loc148,jbt8,42,40's,5,65
427,Donna Arrington,Female,loc235,jbt5,40,40's,4,89
428,Betty Toliver,Female,loc89,jbt8,44,40's,5,77
429,Sharon Cox,Female,loc236,jbt5,55,50's,4,162
430,Charles Moore,Male,loc205,jbt8,46,40's,2,58
431,Jane Adkins,Female,loc1,jbt8,35,30's,4,13
432,Doris Smith,Female,loc132,jbt5,58,50's,3,202
433,Frances Torres,Female,loc232,jbt33,53,50's,19,60
434,Cristobal Hall,Male,loc215,jbt5,56,50's,3,154
435,Richard Ruiz,Male,loc232,jbt40,55,50's,21,73
436,Juan Marin,Male,loc112,jbt8,28,20's,5,0
437,Helen Lee,Female,loc232,jbt40,67,60's,1,0
438,April Watts,Female,loc64,jbt5,43,40's,6,59
439,Matt Stevens,Male,loc148,jbt8,39,30's,4,17
440,Salena Hufford,Female,loc40,jbt8,32,30's,1,50
441,Shawnee Wood,Female,loc62,jbt15,44,40's,5,116
442,Brittany Powell,Female,loc207,jbt5,54,50's,4,104
443,Michael Richardson,Male,loc24,jbt5,29,20's,5,0
444,Joy Burt,Female,loc168,jbt5,52,50's,4,114
445,Marcus Orsini,Male,loc210,jbt5,38,30's,2,12
